protocol,m,d,n,schedule,avg_wasted,max_wasted,proved_bound,max_blocked,avg_sends
chunk-reserve,5,1,5000,single,4,4,4,0,4996
chunk-reserve,5,1,5000,round_robin,0,0,4,0,5000
chunk-reserve,5,1,5000,uniform,0,0,4,0,5000
chunk-reserve,5,1,5000,skewed,0,0,4,0,5000
chunk-reserve,5,1,5000,bursty,0,0,4,0,5000
chunk-reserve,5,1,5000,one_shot,4,4,4,0,4996
chunk-reserve,5,2,5000,single,8,8,13,0,4992
chunk-reserve,5,2,5000,round_robin,0,0,13,0,5000
chunk-reserve,5,2,5000,uniform,0,0,13,0,5000
chunk-reserve,5,2,5000,skewed,0,0,13,0,5000
chunk-reserve,5,2,5000,bursty,0,0,13,0,5000
chunk-reserve,5,2,5000,one_shot,11.5,12,13,0,4988.5
chunk-reserve,5,5,5000,single,20,20,40,0,4980
chunk-reserve,5,5,5000,round_robin,0,0,40,0,5000
chunk-reserve,5,5,5000,uniform,0,0,40,0,5000
chunk-reserve,5,5,5000,skewed,0,0,40,0,5000
chunk-reserve,5,5,5000,bursty,0,0,40,0,5000
chunk-reserve,5,5,5000,one_shot,31,36,40,0,4969
chunk-reserve,5,10,5000,single,40,40,85,0,4960
chunk-reserve,5,10,5000,round_robin,0,0,85,0,5000
chunk-reserve,5,10,5000,uniform,0,0,85,0,5000
chunk-reserve,5,10,5000,skewed,0,0,85,0,5000
chunk-reserve,5,10,5000,bursty,0,0,85,0,5000
chunk-reserve,5,10,5000,one_shot,66,76,85,0,4934
chunk-reserve,5,20,5000,single,80,80,175,0,4920
chunk-reserve,5,20,5000,round_robin,0,0,175,0,5000
chunk-reserve,5,20,5000,uniform,0,0,175,0,5000
chunk-reserve,5,20,5000,skewed,0,0,175,0,5000
chunk-reserve,5,20,5000,bursty,0,0,175,0,5000
chunk-reserve,5,20,5000,one_shot,136,156,175,0,4864
chunk-reserve,9,1,5000,single,8,8,8,0,4992
chunk-reserve,9,1,5000,round_robin,0,0,8,0,5000
chunk-reserve,9,1,5000,uniform,0,0,8,0,5000
chunk-reserve,9,1,5000,skewed,0,0,8,0,5000
chunk-reserve,9,1,5000,bursty,0,0,8,0,5000
chunk-reserve,9,1,5000,one_shot,8,8,8,0,4992
chunk-reserve,9,2,5000,single,16,16,25,0,4984
chunk-reserve,9,2,5000,round_robin,0,0,25,0,5000
chunk-reserve,9,2,5000,uniform,0,0,25,0,5000
chunk-reserve,9,2,5000,skewed,0,0,25,0,5000
chunk-reserve,9,2,5000,bursty,0,0,25,0,5000
chunk-reserve,9,2,5000,one_shot,23.5,24,25,0,4976.5
chunk-reserve,9,5,5000,single,40,40,76,0,4960
chunk-reserve,9,5,5000,round_robin,0,0,76,0,5000
chunk-reserve,9,5,5000,uniform,0,0,76,0,5000
chunk-reserve,9,5,5000,skewed,0,0,76,0,5000
chunk-reserve,9,5,5000,bursty,0,0,76,0,5000
